Province,Division,District,Indicator,Area Type,Total,Male,Female
KPK,Peshawar Division,Charsadda,Labour Force,Urban,59200,53400,5800
KPK,Peshawar Division,Charsadda,Employed,Rural,360000,295000,65000
KPK,Peshawar Division,Charsadda,Employed,Urban,56200,51300,4900
KPK,Peshawar Division,Charsadda,Unemployed,Rural,30200,17000,13200
KPK,Peshawar Division,Charsadda,Unemployed,Urban,3100,2100,1000
KPK,Peshawar Division,Charsadda,Refined Participation Rate (%),Rural,40,66.4,15.5
KPK,Peshawar Division,Charsadda,Refined Participation Rate (%),Urban,34.4,64.1,6.6
KPK,Peshawar Division,Charsadda,Unemployment Rate (%),Rural,7.7,5.4,16.9
KPK,Peshawar Division,Charsadda,Unemployment Rate (%),Urban,5.2,3.9,16.5
KPK,Peshawar Division,Charsadda,Employment to Population Ratio (%),Rural,36.9,62.8,12.8
KPK,Peshawar Division,Charsadda,Employment to Population Ratio (%),Urban,32.6,61.5,5.5
KPK,Peshawar Division,Charsadda,Agriculture Employee (%),Rural,39.7,33.8,66.5
KPK,Peshawar Division,Charsadda,Agriculture Employee (%),Urban,10.8,11.9,-
KPK,Peshawar Division,Charsadda,Industry Employee (%),Rural,25.4,27,18
KPK,Peshawar Division,Charsadda,Industry Employee (%),Urban,31.8,32.3,26.4
KPK,Peshawar Division,Charsadda,Services Employee (%),Rural,34.9,39.1,15.6
KPK,Peshawar Division,Charsadda,Services Employee (%),Urban,57.4,55.8,73.6
KPK,Peshawar Division,Charsadda,Formal Activity (%),Rural,24.1,23.1,32.2
KPK,Peshawar Division,Charsadda,Formal Activity (%),Urban,14,10.4,47
KPK,Peshawar Division,Charsadda,Informal Activity (%),Rural,75.9,76.9,67.8
KPK,Peshawar Division,Charsadda,Informal Activity (%),Urban,86,89.6,53
KPK,Peshawar Division,Charsadda,Employers (%),All Areas,1,1.2,-
KPK,Peshawar Division,Charsadda,Own Account Workers (%),All Areas,40.8,44.3,23.4
KPK,Peshawar Division,Charsadda,Contributing Family  Workers (%),All Areas,21.6,14.7,55.8
KPK,Peshawar Division,Charsadda,Employees (%),All Areas,36.6,39.8,20.8
KPK,Peshawar Division,Charsadda,Literacy Rate (%),Rural,50.5,67,35.3
KPK,Peshawar Division,Charsadda,Literacy Rate (%),Urban,77.9,96.4,60.6
KPK,Peshawar Division,Charsadda,Underemployment Rate (%),Rural,1.2,1.3,0.8
KPK,Peshawar Division,Charsadda,Underemployment Rate (%),Urban,2.9,3.2,-
KPK,Peshawar Division,Charsadda,Mean Hours Work/Per Week,Rural,42.1,45.7,25.7
KPK,Peshawar Division,Charsadda,Mean Hours Work/Per Week,Urban,45.2,47,25.2
KPK,Peshawar Division,Charsadda,Total Population,Rural,1340756,678713,662036
KPK,Peshawar Division,Charsadda,Total Population,Urban,270204,138938,131262
KPK,Peshawar Division,Khyber,Working Age Population,Rural,634000,309000,325000
KPK,Peshawar Division,Khyber,Working Age Population,Urban,71000,38000,33000
KPK,Peshawar Division,Khyber,Labour Force,Rural,182500,162500,20000
KPK,Peshawar Division,Khyber,Labour Force,Urban,19500,18900,700
KPK,Peshawar Division,Khyber,Employed,Rural,166900,147100,19800
KPK,Peshawar Division,Khyber,Employed,Urban,16900,16200,700
KPK,Peshawar Division,Khyber,Unemployed,Rural,15600,15400,200
KPK,Peshawar Division,Khyber,Unemployed,Urban,2600,2600,-
KPK,Peshawar Division,Khyber,Refined Participation Rate (%),Rural,28.8,52.7,6.1
KPK,Peshawar Division,Khyber,Refined Participation Rate (%),Urban,27.6,49.8,2.1
KPK,Peshawar Division,Khyber,Unemployment Rate (%),Rural,8.5,9.5,1
KPK,Peshawar Division,Khyber,Unemployment Rate (%),Urban,13.4,13.9,-
KPK,Peshawar Division,Khyber,Employment to Population Ratio (%),Rural,26.3,47.7,6.1
KPK,Peshawar Division,Khyber,Employment to Population Ratio (%),Urban,23.9,42.9,2.1
KPK,Peshawar Division,Khyber,Agriculture Employee (%),Rural,21.7,17.4,54
KPK,Peshawar Division,Khyber,Agriculture Employee (%),Urban,-,-,-
KPK,Peshawar Division,Khyber,Industry Employee (%),Rural,27.4,27.5,26.2
KPK,Peshawar Division,Khyber,Industry Employee (%),Urban,25.1,24,50
KPK,Peshawar Division,Khyber,Services Employee (%),Rural,50.9,55.1,19.9
KPK,Peshawar Division,Khyber,Services Employee (%),Urban,74.9,76,50
KPK,Peshawar Division,Khyber,Formal Activity (%),Rural,15.3,16.4,-
KPK,Peshawar Division,Khyber,Formal Activity (%),Urban,41.5,41.2,50
KPK,Peshawar Division,Khyber,Informal Activity (%),Rural,84.7,83.6,100
KPK,Peshawar Division,Khyber,Informal Activity (%),Urban,58.5,58.8,50
KPK,Peshawar Division,Khyber,Employers (%),All Areas,0.6,0.6,-
KPK,Peshawar Division,Khyber,Own Account Workers (%),All Areas,41.9,39.4,62
KPK,Peshawar Division,Khyber,Contributing Family  Workers (%),All Areas,10.1,8.1,26.2
KPK,Peshawar Division,Khyber,Employees (%),All Areas,47.4,51.9,11.8
KPK,Peshawar Division,Khyber,Literacy Rate (%),Rural,44.4,74.7,15.7
KPK,Peshawar Division,Khyber,Literacy Rate (%),Urban,63.6,90.4,32.9
KPK,Peshawar Division,Khyber,Underemployment Rate (%),Rural,1.3,1.3,1.7
KPK,Peshawar Division,Khyber,Underemployment Rate (%),Urban,-,-,-
KPK,Peshawar Division,Khyber,Mean Hours Work/Per Week,Rural,47.4,49.6,31
KPK,Peshawar Division,Khyber,Mean Hours Work/Per Week,Urban,53.4,54.7,21
KPK,Peshawar Division,Khyber,Total Population,Rural,886789,453603,433126
KPK,Peshawar Division,Khyber,Total Population,Urban,97457,50899,46543
KPK,Peshawar Division,Mohmand,Working Age Population,Rural,295000,131000,164000
KPK,Peshawar Division,Mohmand,Working Age Population,Urban,-,-,-
KPK,Peshawar Division,Mohmand,Labour Force,Rural,91700,73800,17900
KPK,Peshawar Division,Mohmand,Labour Force,Urban,-,-,-
KPK,Peshawar Division,Mohmand,Employed,Rural,85600,67700,17800
KPK,Peshawar Division,Mohmand,Employed,Urban,-,-,-
KPK,Peshawar Division,Mohmand,Unemployed,Rural,6100,6000,100
KPK,Peshawar Division,Mohmand,Unemployed,Urban,-,-,-
KPK,Peshawar Division,Mohmand,Refined Participation Rate (%),Rural,31,56.3,10.9
KPK,Peshawar Division,Mohmand,Refined Participation Rate (%),Urban,-,-,-
KPK,Peshawar Division,Mohmand,Unemployment Rate (%),Rural,6.7,8.2,0.5
KPK,Peshawar Division,Mohmand,Unemployment Rate (%),Urban,-,-,-
KPK,Peshawar Division,Mohmand,Employment to Population Ratio (%),Rural,29,51.7,10.8
KPK,Peshawar Division,Mohmand,Employment to Population Ratio (%),Urban,-,-,-
KPK,Peshawar Division,Mohmand,Agriculture Employee (%),Rural,28.7,23.9,47.1
KPK,Peshawar Division,Mohmand,Agriculture Employee (%),Urban,-,-,-
KPK,Peshawar Division,Mohmand,Industry Employee (%),Rural,24.2,27.4,12.1
KPK,Peshawar Division,Mohmand,Industry Employee (%),Urban,-,-,-
KPK,Peshawar Division,Mohmand,Services Employee (%),Rural,47,48.7,40.8
KPK,Peshawar Division,Mohmand,Services Employee (%),Urban,-,-,-
KPK,Peshawar Division,Mohmand,Formal Activity (%),Rural,12.5,13.2,8.6
KPK,Peshawar Division,Mohmand,Formal Activity (%),Urban,-,-,-
KPK,Peshawar Division,Mohmand,Informal Activity (%),Rural,87.5,86.8,91.4
KPK,Peshawar Division,Mohmand,Informal Activity (%),Urban,-,-,-
KPK,Peshawar Division,Mohmand,Employers (%),All Areas,0.6,0.8,-
KPK,Peshawar Division,Mohmand,Own Account Workers (%),All Areas,47.3,44.1,59.5
KPK,Peshawar Division,Mohmand,Contributing Family  Workers (%),All Areas,16.2,11.8,32.8
KPK,Peshawar Division,Mohmand,Employees (%),All Areas,35.8,43.2,7.7
KPK,Peshawar Division,Mohmand,Literacy Rate (%),Rural,28,53.5,7.7
KPK,Peshawar Division,Mohmand,Literacy Rate (%),Urban,-,-,-
KPK,Peshawar Division,Mohmand,Underemployment Rate (%),Rural,1.3,1.4,0.9
KPK,Peshawar Division,Mohmand,Underemployment Rate (%),Urban,-,-,-
KPK,Peshawar Division,Mohmand,Mean Hours Work/Per Week,Rural,43.7,48.6,25.1
KPK,Peshawar Division,Mohmand,Mean Hours Work/Per Week,Urban,-,-,-
KPK,Peshawar Division,Mohmand,Total Population,Rural,474345,241549,232755
KPK,Peshawar Division,Mohmand,Total Population,Urban,-,-,-
KPK,Peshawar Division,Nowshera,Working Age Population,Rural,889000,450000,439000
KPK,Peshawar Division,Nowshera,Working Age Population,Urban,257000,129000,128000
KPK,Peshawar Division,Nowshera,Labour Force,Rural,295900,285400,10400
KPK,Peshawar Division,Nowshera,Labour Force,Urban,84500,77300,7200
KPK,Peshawar Division,Nowshera,Employed,Rural,277700,269300,8400
KPK,Peshawar Division,Nowshera,Employed,Urban,82400,75700,6700
KPK,Peshawar Division,Nowshera,Unemployed,Rural,18100,16100,2000
KPK,Peshawar Division,Nowshera,Unemployed,Urban,2100,1600,500
KPK,Peshawar Division,Nowshera,Refined Participation Rate (%),Rural,33.3,63.4,2.4
KPK,Peshawar Division,Nowshera,Refined Participation Rate (%),Urban,32.9,59.8,5.7
KPK,Peshawar Division,Nowshera,Unemployment Rate (%),Rural,6.1,5.7,19.1
KPK,Peshawar Division,Nowshera,Unemployment Rate (%),Urban,2.5,2,7.2
KPK,Peshawar Division,Nowshera,Employment to Population Ratio (%),Rural,31.2,59.8,1.9
KPK,Peshawar Division,Nowshera,Employment to Population Ratio (%),Urban,32.1,58.6,5.2
KPK,Peshawar Division,Nowshera,Agriculture Employee (%),Rural,18.7,19.2,-
KPK,Peshawar Division,Nowshera,Agriculture Employee (%),Urban,3.6,3.3,7.3
KPK,Peshawar Division,Nowshera,Industry Employee (%),Rural,37.9,37.9,37.4
KPK,Peshawar Division,Nowshera,Industry Employee (%),Urban,46.9,46.9,46.6
KPK,Peshawar Division,Nowshera,Services Employee (%),Rural,43.4,42.8,62.6
KPK,Peshawar Division,Nowshera,Services Employee (%),Urban,49.5,49.8,46.1
KPK,Peshawar Division,Nowshera,Formal Activity (%),Rural,21.5,20,59.9
KPK,Peshawar Division,Nowshera,Formal Activity (%),Urban,18.2,15.5,49.7
KPK,Peshawar Division,Nowshera,Informal Activity (%),Rural,78.5,80,40.1
KPK,Peshawar Division,Nowshera,Informal Activity (%),Urban,81.8,84.5,50.3
KPK,Peshawar Division,Nowshera,Employers (%),All Areas,1.8,1.9,-
KPK,Peshawar Division,Nowshera,Own Account Workers (%),All Areas,34.1,34.4,26.4
KPK,Peshawar Division,Nowshera,Contributing Family  Workers (%),All Areas,8.4,8.3,10.8
KPK,Peshawar Division,Nowshera,Employees (%),All Areas,55.7,55.4,62.8
KPK,Peshawar Division,Nowshera,Literacy Rate (%),Rural,55.1,70.5,39.4
KPK,Peshawar Division,Nowshera,Literacy Rate (%),Urban,72.3,90.1,54.4
KPK,Peshawar Division,Nowshera,Underemployment Rate (%),Rural,1.4,1.3,4.6
KPK,Peshawar Division,Nowshera,Underemployment Rate (%),Urban,1.2,1.3,-
KPK,Peshawar Division,Nowshera,Mean Hours Work/Per Week,Rural,49.2,49.5,38.1
KPK,Peshawar Division,Nowshera,Mean Hours Work/Per Week,Urban,47.3,48.7,32.6
KPK,Peshawar Division,Nowshera,Total Population,Rural,650688,327250,323393
KPK,Peshawar Division,Nowshera,Total Population,Urban,141492,72720,68763
KPK,Peshawar Division,Peshawar,Working Age Population,Rural,1727000,864000,862000
KPK,Peshawar Division,Peshawar,Working Age Population,Urban,1456000,776000,680000
KPK,Peshawar Division,Peshawar,Labour Force,Rural,925500,638900,286600
KPK,Peshawar Division,Peshawar,Labour Force,Urban,598700,519200,79500
KPK,Peshawar Division,Peshawar,Employed,Rural,849700,612800,236800
KPK,Peshawar Division,Peshawar,Employed,Urban,553000,482800,70200
KPK,Peshawar Division,Peshawar,Unemployed,Rural,75800,26000,49800
KPK,Peshawar Division,Peshawar,Unemployed,Urban,45700,36400,9300
KPK,Peshawar Division,Peshawar,Refined Participation Rate (%),Rural,53.6,73.9,33.2
KPK,Peshawar Division,Peshawar,Refined Participation Rate (%),Urban,41.1,66.9,11.7
KPK,Peshawar Division,Peshawar,Unemployment Rate (%),Rural,8.2,4.1,17.4
KPK,Peshawar Division,Peshawar,Unemployment Rate (%),Urban,7.6,7,11.7
KPK,Peshawar Division,Peshawar,Employment to Population Ratio (%),Rural,49.2,70.9,27.5
KPK,Peshawar Division,Peshawar,Employment to Population Ratio (%),Urban,38,62.2,10.3
KPK,Peshawar Division,Peshawar,Agriculture Employee (%),Rural,38.4,27.8,65.6
KPK,Peshawar Division,Peshawar,Agriculture Employee (%),Urban,4.6,3,15.6
KPK,Peshawar Division,Peshawar,Industry Employee (%),Rural,26.6,28.4,21.8
KPK,Peshawar Division,Peshawar,Industry Employee (%),Urban,25.6,26.5,19.3
KPK,Peshawar Division,Peshawar,Services Employee (%),Rural,35.1,43.7,12.6
KPK,Peshawar Division,Peshawar,Services Employee (%),Urban,69.8,70.5,65.1
KPK,Peshawar Division,Peshawar,Formal Activity (%),Rural,30.8,30.4,32.7
KPK,Peshawar Division,Peshawar,Formal Activity (%),Urban,29.7,25.7,61
KPK,Peshawar Division,Peshawar,Informal Activity (%),Rural,69.2,69.6,67.3
KPK,Peshawar Division,Peshawar,Informal Activity (%),Urban,70.3,74.3,39
KPK,Peshawar Division,Peshawar,Employers (%),All Areas,1.8,2.3,-
KPK,Peshawar Division,Peshawar,Own Account Workers (%),All Areas,34.1,35.8,27.9
KPK,Peshawar Division,Peshawar,Contributing Family  Workers (%),All Areas,19.9,13.9,41
KPK,Peshawar Division,Peshawar,Employees (%),All Areas,44.3,48,31
KPK,Peshawar Division,Peshawar,Literacy Rate (%),Rural,53.2,71.9,34.4
KPK,Peshawar Division,Peshawar,Literacy Rate (%),Urban,72,84.7,57.6
KPK,Peshawar Division,Peshawar,Underemployment Rate (%),Rural,2.3,2.1,3
KPK,Peshawar Division,Peshawar,Underemployment Rate (%),Urban,2,1.6,4.7
KPK,Peshawar Division,Peshawar,Mean Hours Work/Per Week,Rural,41.5,47.2,26.7
KPK,Peshawar Division,Peshawar,Mean Hours Work/Per Week,Urban,48.3,50.8,31.5
KPK,Peshawar Division,Peshawar,Total Population,Rural,2362136,1204671,1157248
KPK,Peshawar Division,Peshawar,Total Population,Urban,1969823,1025010,944401
Punjab,Bahawalpur Division,Bahawalnagar,Working Age Population,Rural,1800000,933000,867000
Punjab,Bahawalpur Division,Bahawalnagar,Working Age Population,Urban,503000,253000,250000
Punjab,Bahawalpur Division,Bahawalnagar,Labour Force,Rural,898200,692300,205900
Punjab,Bahawalpur Division,Bahawalnagar,Labour Force,Urban,192400,168200,24300
Punjab,Bahawalpur Division,Bahawalnagar,Employed,Rural,886600,682100,204400
Punjab,Bahawalpur Division,Bahawalnagar,Employed,Urban,182400,162100,20400
Punjab,Bahawalpur Division,Bahawalnagar,Unemployed,Rural,11600,10200,1400
Punjab,Bahawalpur Division,Bahawalnagar,Unemployed,Urban,10000,6100,3900
Punjab,Bahawalpur Division,Bahawalnagar,Refined Participation Rate (%),Rural,49.9,74.2,23.8
Punjab,Bahawalpur Division,Bahawalnagar,Refined Participation Rate (%),Urban,38.3,66.5,9.7
Punjab,Bahawalpur Division,Bahawalnagar,Unemployment Rate (%),Rural,1.3,1.5,0.7
Punjab,Bahawalpur Division,Bahawalnagar,Unemployment Rate (%),Urban,5.2,3.6,16.1
Punjab,Bahawalpur Division,Bahawalnagar,Employment to Population Ratio (%),Rural,49.3,73.1,23.6
Punjab,Bahawalpur Division,Bahawalnagar,Employment to Population Ratio (%),Urban,36.3,64.1,8.2
Punjab,Bahawalpur Division,Bahawalnagar,Agriculture Employee (%),Rural,59.8,53.1,82.1
Punjab,Bahawalpur Division,Bahawalnagar,Agriculture Employee (%),Urban,6.1,6.6,2.3
Punjab,Bahawalpur Division,Bahawalnagar,Industry Employee (%),Rural,19.5,23.4,6.6
Punjab,Bahawalpur Division,Bahawalnagar,Industry Employee (%),Urban,23.7,21.8,39
Punjab,Bahawalpur Division,Bahawalnagar,Services Employee (%),Rural,20.7,23.5,11.4
Punjab,Bahawalpur Division,Bahawalnagar,Services Employee (%),Urban,70.2,71.6,58.6
Punjab,Bahawalpur Division,Bahawalnagar,Formal Activity (%),Rural,24.7,22.3,45.4
Punjab,Bahawalpur Division,Bahawalnagar,Formal Activity (%),Urban,21.5,18.6,43.4
Punjab,Bahawalpur Division,Bahawalnagar,Informal Activity (%),Rural,75.3,77.7,54.6
Punjab,Bahawalpur Division,Bahawalnagar,Informal Activity (%),Urban,78.5,81.4,56.6
Punjab,Bahawalpur Division,Bahawalnagar,Employers (%),All Areas,0.4,0.5,-
Punjab,Bahawalpur Division,Bahawalnagar,Own Account Workers (%),All Areas,41.8,47.7,19.8
Punjab,Bahawalpur Division,Bahawalnagar,Contributing Family  Workers (%),All Areas,25.6,17.1,57.4
Punjab,Bahawalpur Division,Bahawalnagar,Employees (%),All Areas,32.2,34.7,22.8
Punjab,Bahawalpur Division,Bahawalnagar,Literacy Rate (%),Rural,48.8,58.7,38.1
Punjab,Bahawalpur Division,Bahawalnagar,Literacy Rate (%),Urban,73.9,77.1,70.6
Punjab,Bahawalpur Division,Bahawalnagar,Underemployment Rate (%),Rural,1.5,1.4,2
Punjab,Bahawalpur Division,Bahawalnagar,Underemployment Rate (%),Urban,1.1,1.3,-
Punjab,Bahawalpur Division,Bahawalnagar,Mean Hours Work/Per Week,Rural,46.1,48.9,36.7
Punjab,Bahawalpur Division,Bahawalnagar,Mean Hours Work/Per Week,Urban,49.3,50.3,41.3
Punjab,Bahawalpur Division,Bahawalnagar,Total Population,Rural,2355970,1197091,1158671
Punjab,Bahawalpur Division,Bahawalnagar,Total Population,Urban,619686,313336,306229
Punjab,Bahawalpur Division,Bahawalpur,Working Age Population,Rural,1847000,873000,975000
Punjab,Bahawalpur Division,Bahawalpur,Working Age Population,Urban,976000,468000,507000
Punjab,Bahawalpur Division,Bahawalpur,Labour Force,Rural,1095400,646900,448400
Punjab,Bahawalpur Division,Bahawalpur,Labour Force,Urban,446400,338000,108300
Punjab,Bahawalpur Division,Bahawalpur,Employed,Rural,1081800,640800,441000
Punjab,Bahawalpur Division,Bahawalpur,Employed,Urban,434400,330000,104400
Punjab,Bahawalpur Division,Bahawalpur,Unemployed,Rural,13600,6100,7500
Punjab,Bahawalpur Division,Bahawalpur,Unemployed,Urban,11900,8000,3900
Punjab,Bahawalpur Division,Bahawalpur,Refined Participation Rate (%),Rural,59.3,74.1,46
Punjab,Bahawalpur Division,Bahawalpur,Refined Participation Rate (%),Urban,45.7,72.2,21.4
Punjab,Bahawalpur Division,Bahawalpur,Unemployment Rate (%),Rural,1.2,0.9,1.7
Punjab,Bahawalpur Division,Bahawalpur,Unemployment Rate (%),Urban,2.7,2.4,3.6
Punjab,Bahawalpur Division,Bahawalpur,Employment to Population Ratio (%),Rural,58.6,73.4,45.2
Punjab,Bahawalpur Division,Bahawalpur,Employment to Population Ratio (%),Urban,44.5,70.5,20.6
Punjab,Bahawalpur Division,Bahawalpur,Agriculture Employee (%),Rural,66.8,52.4,87.7
Punjab,Bahawalpur Division,Bahawalpur,Agriculture Employee (%),Urban,17.6,12.1,35
Punjab,Bahawalpur Division,Bahawalpur,Industry Employee (%),Rural,15.5,21.8,6.4
Punjab,Bahawalpur Division,Bahawalpur,Industry Employee (%),Urban,29.8,29.3,31.4
Punjab,Bahawalpur Division,Bahawalpur,Services Employee (%),Rural,17.7,25.8,6
Punjab,Bahawalpur Division,Bahawalpur,Services Employee (%),Urban,52.6,58.6,33.5
Punjab,Bahawalpur Division,Bahawalpur,Formal Activity (%),Rural,18.4,17.2,24.7
Punjab,Bahawalpur Division,Bahawalpur,Formal Activity (%),Urban,23.8,23.9,23.3
Punjab,Bahawalpur Division,Bahawalpur,Informal Activity (%),Rural,81.6,82.8,75.3
Punjab,Bahawalpur Division,Bahawalpur,Informal Activity (%),Urban,76.2,76.1,76.7
Punjab,Bahawalpur Division,Bahawalpur,Employers (%),All Areas,0.5,0.7,0.1
Punjab,Bahawalpur Division,Bahawalpur,Own Account Workers (%),All Areas,38.9,46.3,25.8
Punjab,Bahawalpur Division,Bahawalpur,Contributing Family  Workers (%),All Areas,25.4,12.9,47.7
Punjab,Bahawalpur Division,Bahawalpur,Employees (%),All Areas,35.2,40.2,26.3
Punjab,Bahawalpur Division,Bahawalpur,Literacy Rate (%),Rural,41.8,51.4,33.2
Punjab,Bahawalpur Division,Bahawalpur,Literacy Rate (%),Urban,67,71.6,62.8
Punjab,Bahawalpur Division,Bahawalpur,Underemployment Rate (%),Rural,2.1,2.1,2
Punjab,Bahawalpur Division,Bahawalpur,Underemployment Rate (%),Urban,3.2,2,6.7
Punjab,Bahawalpur Division,Bahawalpur,Mean Hours Work/Per Week,Rural,42.4,49.4,32.2
Punjab,Bahawalpur Division,Bahawalpur,Mean Hours Work/Per Week,Urban,47.6,52.4,32.5
Punjab,Bahawalpur Division,Bahawalpur,Total Population,Rural,2497014,1273896,1222943
Punjab,Bahawalpur Division,Bahawalpur,Total Population,Urban,1172162,605806,566205
Punjab,Bahawalpur Division,Rahim Yar Khan,Working Age Population,Rural,2741000,1372000,1369000
Punjab,Bahawalpur Division,Rahim Yar Khan,Working Age Population,Urban,898000,460000,438000
Punjab,Bahawalpur Division,Rahim Yar Khan,Labour Force,Rural,1581100,995600,585500
Punjab,Bahawalpur Division,Rahim Yar Khan,Labour Force,Urban,348000,287600,60400
Punjab,Bahawalpur Division,Rahim Yar Khan,Employed,Rural,1536800,959200,577500
Punjab,Bahawalpur Division,Rahim Yar Khan,Employed,Urban,331600,276400,55200
Punjab,Bahawalpur Division,Rahim Yar Khan,Unemployed,Rural,44400,36400,8000
Punjab,Bahawalpur Division,Rahim Yar Khan,Unemployed,Urban,16400,11200,5200
Punjab,Bahawalpur Division,Rahim Yar Khan,Refined Participation Rate (%),Rural,57.7,72.6,42.8
Punjab,Bahawalpur Division,Rahim Yar Khan,Refined Participation Rate (%),Urban,38.8,62.6,13.8
Punjab,Bahawalpur Division,Rahim Yar Khan,Unemployment Rate (%),Rural,2.8,3.7,1.4
Punjab,Bahawalpur Division,Rahim Yar Khan,Unemployment Rate (%),Urban,4.7,3.9,8.6
Punjab,Bahawalpur Division,Rahim Yar Khan,Employment to Population Ratio (%),Rural,56.1,69.9,42.2
Punjab,Bahawalpur Division,Rahim Yar Khan,Employment to Population Ratio (%),Urban,36.9,60.1,12.6
Punjab,Bahawalpur Division,Rahim Yar Khan,Agriculture Employee (%),Rural,62.1,45.8,89.2
Punjab,Bahawalpur Division,Rahim Yar Khan,Agriculture Employee (%),Urban,16.4,12.4,36.3
Punjab,Bahawalpur Division,Rahim Yar Khan,Industry Employee (%),Rural,17.3,24.2,5.9
Punjab,Bahawalpur Division,Rahim Yar Khan,Industry Employee (%),Urban,30.8,34.7,11.2
Punjab,Bahawalpur Division,Rahim Yar Khan,Services Employee (%),Rural,20.5,30,4.9
Punjab,Bahawalpur Division,Rahim Yar Khan,Services Employee (%),Urban,52.9,52.9,52.5
Punjab,Bahawalpur Division,Rahim Yar Khan,Formal Activity (%),Rural,15.9,14.5,27.5
Punjab,Bahawalpur Division,Rahim Yar Khan,Formal Activity (%),Urban,22.7,19.8,42.8
Punjab,Bahawalpur Division,Rahim Yar Khan,Informal Activity (%),Rural,84.1,85.5,72.5
Punjab,Bahawalpur Division,Rahim Yar Khan,Informal Activity (%),Urban,77.3,80.2,57.2
Punjab,Bahawalpur Division,Rahim Yar Khan,Employers (%),All Areas,0.3,0.4,0.1
Punjab,Bahawalpur Division,Rahim Yar Khan,Own Account Workers (%),All Areas,33.2,40.8,18.3
Punjab,Bahawalpur Division,Rahim Yar Khan,Contributing Family  Workers (%),All Areas,29.9,12.1,64.7
Punjab,Bahawalpur Division,Rahim Yar Khan,Employees (%),All Areas,36.6,46.7,16.9
Punjab,Bahawalpur Division,Rahim Yar Khan,Literacy Rate (%),Rural,42.5,54.1,31
Punjab,Bahawalpur Division,Rahim Yar Khan,Literacy Rate (%),Urban,72.8,78.4,66.9
Punjab,Bahawalpur Division,Rahim Yar Khan,Underemployment Rate (%),Rural,0.3,0.1,0.7
Punjab,Bahawalpur Division,Rahim Yar Khan,Underemployment Rate (%),Urban,1,0.4,3.7
Punjab,Bahawalpur Division,Rahim Yar Khan,Mean Hours Work/Per Week,Rural,42.7,48.3,33.3
Punjab,Bahawalpur Division,Rahim Yar Khan,Mean Hours Work/Per Week,Urban,46.5,48.8,34.6
Punjab,Bahawalpur Division,Rahim Yar Khan,Total Population,Rural,3776779,1936497,1839911
Punjab,Bahawalpur Division,Rahim Yar Khan,Total Population,Urban,1030983,525283,505502
Punjab,Capital Territory,Islamabad,Working Age Population,Rural,829000,432000,397000
Punjab,Capital Territory,Islamabad,Working Age Population,Urban,857000,473000,383000
Punjab,Capital Territory,Islamabad,Labour Force,Rural,417500,290600,126900
Punjab,Capital Territory,Islamabad,Labour Force,Urban,365000,316400,48600
Punjab,Capital Territory,Islamabad,Employed,Rural,362100,257700,104300
Punjab,Capital Territory,Islamabad,Employed,Urban,338900,297100,41800
Punjab,Capital Territory,Islamabad,Unemployed,Rural,55400,32800,22600
Punjab,Capital Territory,Islamabad,Unemployed,Urban,26000,19300,6700
Punjab,Capital Territory,Islamabad,Refined Participation Rate (%),Rural,50.4,67.2,32
Punjab,Capital Territory,Islamabad,Refined Participation Rate (%),Urban,42.6,66.8,12.7
Punjab,Capital Territory,Islamabad,Unemployment Rate (%),Rural,13.3,11.3,17.8
Punjab,Capital Territory,Islamabad,Unemployment Rate (%),Urban,7.1,6.1,13.8
Punjab,Capital Territory,Islamabad,Employment to Population Ratio (%),Rural,43.7,59.7,26.3
Punjab,Capital Territory,Islamabad,Employment to Population Ratio (%),Urban,39.6,62.8,10.9
Punjab,Capital Territory,Islamabad,Agriculture Employee (%),Rural,27.7,8.2,65.4
Punjab,Capital Territory,Islamabad,Agriculture Employee (%),Urban,4.8,3.1,16.4
Punjab,Capital Territory,Islamabad,Industry Employee (%),Rural,17.7,22.4,6.2
Punjab,Capital Territory,Islamabad,Industry Employee (%),Urban,21.3,21.8,17.1
Punjab,Capital Territory,Islamabad,Services Employee (%),Rural,57.6,69.4,28.4
Punjab,Capital Territory,Islamabad,Services Employee (%),Urban,74,75,66.5
Punjab,Capital Territory,Islamabad,Formal Activity (%),Rural,36.2,34,50.7
Punjab,Capital Territory,Islamabad,Formal Activity (%),Urban,43.5,43.1,47.5
Punjab,Capital Territory,Islamabad,Informal Activity (%),Rural,63.8,66,49.3
Punjab,Capital Territory,Islamabad,Informal Activity (%),Urban,56.5,56.9,52.5
Punjab,Capital Territory,Islamabad,Employers (%),All Areas,4.1,4.9,0.8
Punjab,Capital Territory,Islamabad,Own Account Workers (%),All Areas,23,25.6,13.3
Punjab,Capital Territory,Islamabad,Contributing Family  Workers (%),All Areas,13.2,5.3,43.1
Punjab,Capital Territory,Islamabad,Employees (%),All Areas,59.7,64.2,42.7
Punjab,Capital Territory,Islamabad,Literacy Rate (%),Rural,83.8,89,78
Punjab,Capital Territory,Islamabad,Literacy Rate (%),Urban,87.9,93.2,81.3
Punjab,Capital Territory,Islamabad,Underemployment Rate (%),Rural,1.5,1.4,1.8
Punjab,Capital Territory,Islamabad,Underemployment Rate (%),Urban,0.9,-,7.1
Punjab,Capital Territory,Islamabad,Mean Hours Work/Per Week,Rural,48.2,54.1,33.7
Punjab,Capital Territory,Islamabad,Mean Hours Work/Per Week,Urban,54.4,56,43.2
